Table Name,Column Name,Data Type,Primary Key,Foreign Key
company_settings,id,uuid,TRUE,
company_settings,name,text,FALSE,
company_settings,legal_name,text,FALSE,
company_settings,subtitle,text,FALSE,
company_settings,gstin,text,FALSE,
company_settings,phone,text,FALSE,
company_settings,email,text,FALSE,
company_settings,website,text,FALSE,
company_settings,address,text,FALSE,
company_settings,bank_name,text,FALSE,
company_settings,bank_branch,text,FALSE,
company_settings,bank_account_no,text,FALSE,
company_settings,bank_ifsc,text,FALSE,
company_settings,account_name,text,FALSE,
company_settings,upi_id,text,FALSE,
company_settings,terms,text,FALSE,
company_settings,logo_url,text,FALSE,
company_settings,signature_url,text,FALSE,
company_settings,qr_code_url,text,FALSE,
company_settings,signature_text,text,FALSE,
company_settings,created_at,timestamptz,FALSE,
customers,id,uuid,TRUE,
customers,name,text,FALSE,
customers,address,text,FALSE,
customers,shipping_address,text,FALSE,
customers,phone,text,FALSE,
customers,gstin,text,FALSE,
customers,pan,text,FALSE,
customers,place_of_supply,text,FALSE,
customers,created_at,timestamptz,FALSE,
products,id,uuid,TRUE,
products,name,text,FALSE,
products,unit_price,numeric,FALSE,
products,gst_rate,numeric,FALSE,
products,hsn_sac,text,FALSE,
products,created_at,timestamptz,FALSE,
invoices,id,uuid,TRUE,
invoices,invoice_no,text,FALSE,
invoices,invoice_date,date,FALSE,
invoices,due_date,date,FALSE,
invoices,customer_id,uuid,FALSE,customers.id
invoices,terms,text,FALSE,
invoices,received_amount,numeric,FALSE,
invoices,notes,text,FALSE,
invoices,created_at,timestamptz,FALSE,
invoice_items,id,uuid,TRUE,
invoice_items,invoice_id,uuid,FALSE,invoices.id
invoice_items,product_id,uuid,FALSE,products.id
invoice_items,product_name,text,FALSE,
invoice_items,hsn_sac,text,FALSE,
invoice_items,qty,numeric,FALSE,
invoice_items,rate,numeric,FALSE,
invoice_items,gst_rate,numeric,FALSE,
